Entity,Year,Records,Organization type,Method
21st Century Oncology,2016,2200000,healthcare,hacked
500px,2020,14870304,social networking,hacked
Accendo Insurance Co.,2020,175350,healthcare,poor security
Adobe Systems Incorporated,2013,152000000,tech,hacked
Adobe Inc.,2019,7500000,tech,poor security
Advocate Medical Group,2017,4000000,healthcare,lost / stolen media
AerServ (subsidiary of InMobi),2018,75000,advertising,hacked
"Affinity Health Plan, Inc.",2013,344579,healthcare,lost / stolen media
Airtel,2019,320000000,telecommunications,poor security
India Government Aadhar data breach,2023,810000000,government,poor security
Air Canada,2018,20000,transport,hacked
Amazon Japan G.K.,2019,,web,accidentally published
TD Ameritrade,2005,200000,financial,lost / stolen media
Ancestry.com,2021,300000,web,poor security
Animal Jam,2020,46000000,gaming,hacked
"Ankle & Foot Center of Tampa Bay, Inc.",2021,156000,healthcare,hacked
Anthem Inc.,2015,80000000,healthcare,hacked
AOL,2004,92000000,web,"inside job, hacked"
AOL,2006,20000000,web,accidentally published
AOL,2014,2400000,web,hacked
"Apple, Inc./BlueToad",2021,12367232,"tech, retail",accidentally published
Apple,2021,275000,tech,hacked
Apple Health Medicaid,2021,91000,healthcare,poor security
Ashley Madison,2015,32000000,web,hacked
AT&T,2008,113000,telecoms,lost / stolen computer
AT&T,2010,114000,telecoms,hacked
Atraf,2021,,dating,hacked
Auction.co.kr,2008,18000000,web,hacked
Australian National University,2019,200000,academic,hacked
Automatic Data Processing,2005,125000,financial,poor security
"AvMed, Inc.",2009,1220000,healthcare,lost / stolen computer
Bailey's Inc.,2015,250000,retail,hacked
The Bank of New York Mellon,2008,12500000,financial,lost / stolen media
Bangladesh Government website data breach,2023,50000000,government,poor security
Bank of America,2005,1200000,financial,lost / stolen media
Bell Canada,2017,1900000,telecoms,poor security
Bell Canada,2018,100000,telecoms,hacked
Benesse,2014,35040000,educational services,hacked
Betfair,2010,2300000,web,hacked
Bethesda Game Studios,2011,200000,gaming,hacked
Bethesda Game Studios,2018,,gaming,accidentally published
Betsson Group,2020,,gambling,unknown
Blank Media Games,2018,7633234,gaming,hacked
Blizzard Entertainment,2012,14000000,gaming,hacked
BlueCross BlueShield of Tennessee,2009,1023209,healthcare,lost / stolen media
BMO and Simplii,2018,90000,banking,poor security
2018 British Airways cyberattack,2018,500000,transport,hacked
2019 Bulgarian revenue agency hack,2019,5000000,government,hacked
California Department of Child Support Services,2012,800000,government,lost / stolen media
Canva,2019,140000000,web,hacked
Capcom,2020,350000,game,hacked
Capital One,2019,106000000,financial,unsecured S3 bucket
"CardSystems Solutions Inc.(MasterCard, Visa, Discover Financial Services and American Express)",2005,40000000,financial,hacked
Cathay Pacific Airways,2018,9400000,transport,hacked
